Title,Author,Rating
"A Kingdom of Venom and Vows (Stars and Shadows, #3)",Holly Renee,"3.59 avg rating — 7,404 ratings"
"The Blue Bar (Blue Mumbai, #1)",Damyanti Biswas,"3.74 avg rating — 3,087 ratings"
"The Serial Killer’s Sister (The Serial Killer's Family, #3)",Alice  Hunter,4.05 avg rating — 368 ratings
"Heartstopper: Volume Five (Heartstopper, #5)",Alice Oseman,"4.61 avg rating — 4,842 ratings"
The Villa,Rachel Hawkins,"3.67 avg rating — 45,457 ratings"
"Storm Watch (Joe Pickett, #23)",C.J. Box,"4.27 avg rating — 12,762 ratings"
What Lies in the Woods,Kate Alice Marshall,"4.01 avg rating — 51,396 ratings"
"Free Me (WITSEC, #4)",Ashley N. Rostek,4.07 avg rating — 29 ratings
Encore in Death (In Death #56),J.D. Robb,"4.45 avg rating — 15,243 ratings"
"Georgie, All Along",Kate Clayborn,"3.86 avg rating — 29,533 ratings"
"The Right Move (Windy City, #2)",Liz Tomforde,"4.49 avg rating — 74,482 ratings"
"The Last Remains (Ruth Galloway, #15)",Elly Griffiths,"4.52 avg rating — 8,131 ratings"
You Must Remember This,Kat Rosenfield,"3.47 avg rating — 1,977 ratings"
The Golden Spoon,Jessa Maxwell,"3.56 avg rating — 13,025 ratings"
Hags: The Demonisation of Middle-Aged Women,Victoria Dutchman-Smith,4.01 avg rating — 202 ratings
"Lace Vengeance (Snow White, #3)",Eve Dangerfield,4.24 avg rating — 190 ratings
"That Time I Got Drunk and Saved a Human (Mead Mishaps, #3)",Kimberly Lemming,"4.35 avg rating — 1,313 ratings"
I Have Some Questions for You,Rebecca Makkai,"3.71 avg rating — 42,249 ratings"
The Midnight News,Jo Baker,3.81 avg rating — 302 ratings
Murder Book,Thomas Perry,"3.94 avg rating — 2,144 ratings"
Something is Killing the Children #28,James Tynion IV,4.35 avg rating — 167 ratings
"A Realm of Ash and Shadow (A Realm of Ash and Shadow, #1)",Lara Buckheit,3.71 avg rating — 265 ratings
"God of Ruin (Legacy of Gods, #4)",Rina Kent,4.05 avg rating — 165 ratings
Beauty So Golden,Lilith Vincent,3.88 avg rating — 516 ratings
"Princes of Chaos (Royals of Forsyth University, #7)",Angel Lawson,"4.52 avg rating — 1,535 ratings"
"Defiant (Skyward, #4)",Brandon Sanderson,4.43 avg rating — 221 ratings
"Seven Faceless Saints (Seven Faceless Saints, #1)",M.K. Lobb,"3.57 avg rating — 2,439 ratings"
"Sword Catcher (Sword Catcher, #1)",Cassandra Clare,4.17 avg rating — 158 ratings
The Things We Do To Our Friends,Heather Darwent,"3.25 avg rating — 3,051 ratings"
Cookies For My Orc Neighbor,Michele Mills,"3.74 avg rating — 2,873 ratings"
