Title,Author,Rating
"Dark Angel (Letty Davenport, #2)",John Sandford,"4.31 avg rating — 10,778 ratings"
"Bad, Bad Seymour Brown",Susan Isaacs,really liked it 4.00 avg rating — 431 ratings
"Chasm (The Glacian Trilogy, #2)",Stacey McEwan,4.18 avg rating — 34 ratings
Burnt: A Memoir of Fighting Fire,Clare Frank,4.44 avg rating — 54 ratings
A Ship of Bones & Teeth,Karina Halle,"4.11 avg rating — 2,209 ratings"
"In Charm's Way (The Witches of Thistle Grove, #4)",Lana Harper,4.21 avg rating — 56 ratings
"Escape the Reaper (Maura Quinn, #3)",Ashley N. Rostek,4.43 avg rating — 597 ratings
"Blind Fear (Finn Thrillers, #3)",Brandon Webb,4.77 avg rating — 26 ratings
"Six Scorched Roses (Crowns of Nyaxia, #1.5)",Carissa Broadbent,"4.33 avg rating — 18,856 ratings"
Flags on the Bayou,James Lee Burke,4.21 avg rating — 38 ratings
"A Court This Cruel and Lovely (Kingdom of Lies, #1)",Stacia Stark,"4.34 avg rating — 2,299 ratings"
"Man Candy (On a Manhunt, #2)",Vanessa Vale,4.12 avg rating — 908 ratings
Slaying the Vampire Conqueror,Carissa Broadbent,"4.24 avg rating — 4,689 ratings"
The Forgotten Girls: A Memoir of Friendship and Lost Promise in Rural America,Monica  Potts,4.05 avg rating — 566 ratings
"Rule of the Aurora King (Artefacts of Ouranos, #2)",Nisha J. Tuli,"4.07 avg rating — 6,725 ratings"
"Back in a Spell (The Witches of Thistle Grove, #3)",Lana Harper,"3.80 avg rating — 3,059 ratings"
Biting the Hand: Growing Up Asian in Black and White America,Julia       Lee,4.44 avg rating — 349 ratings
"The Stolen Throne (Dominion, #2)",Abigail Owen,4.18 avg rating — 606 ratings
"A Tournament of Crowns (A Trial of Sorcerers, #3)",Elise Kova,4.31 avg rating — 841 ratings
The Celebrants,Steven  Rowley,"3.88 avg rating — 3,813 ratings"
"The Veil (The Veil, #1)",Ivy Brannon,3.97 avg rating — 101 ratings
The River We Remember,William Kent Krueger,4.52 avg rating — 128 ratings
"When a Moth Loved a Bee (Destini Chronicles, #1)",Pepper Winters,3.96 avg rating — 884 ratings
"An Evil Heart (Kate Burkholder, #15)",Linda Castillo,4.46 avg rating — 241 ratings
"House of Pounding Hearts (The Kingdom of Crows, #2)",Olivia Wildenstein,"4.24 avg rating — 6,829 ratings"
"Chasm (The Glacian Trilogy, #2)",Stacey McEwan,4.18 avg rating — 34 ratings
"The Ruthless Fae King (Kings of Avalier, #3)",Leia Stone,"4.26 avg rating — 2,430 ratings"
The West: A New History in Fourteen Lives,Naoíse Mac Sweeney,3.96 avg rating — 72 ratings
"Bewitched (Bewitched, #1)",Laura Thalassa,"4.03 avg rating — 3,952 ratings"
Hoarded by the Dragon,Lillian Lark,4.50 avg rating — 2 ratings
Lucky Red,Claudia Cravens,4.06 avg rating — 133 ratings
Devil Makes Three,Ben Fountain,4.50 avg rating — 2 ratings
"Golden (The Golden Wolf, #1)",Shannon Mayer,"4.18 avg rating — 4,857 ratings"
"Legacy of Shadows (Supernaturals of Castle Academy, #1)",Tessa Hale,"4.29 avg rating — 2,390 ratings"
Pulling the Chariot of the Sun: A Memoir of a Kidnapping,Shane McCrae,4.33 avg rating — 18 ratings
How to Care for a Human Girl,Ashley Wurzbacher,3.91 avg rating — 45 ratings
"Hunted by Fate (The Alpha Territories, #2)",Shannon Mayer,"4.34 avg rating — 4,435 ratings"
If It Sounds Like a Quack...: A Journey to the Fringes of American Medicine,Matthew Hongoltz-Hetling,4.01 avg rating — 90 ratings
Countries of Origin,Javier Fuentes,3.81 avg rating — 42 ratings
"The Foxglove King (The Nightshade Crown, #1)",Hannah F. Whitten,"3.88 avg rating — 6,945 ratings"
"Captured Fate (Shadowblood Souls, #3)",Eva Chase,"3.92 avg rating — 1,048 ratings"
"Murder Off the Books (By the Book Mysteries, #3)",Tamara Berry,4.12 avg rating — 268 ratings
The Hook,Victoria Helen Stone,3.78 avg rating — 286 ratings
"Fate of the Sun King (Artefacts of Ouranos, #3)",Nisha J. Tuli,4.42 avg rating — 12 ratings
How to Lose at Love (Campus Legends #1),Sara Ney,"4.13 avg rating — 2,498 ratings"
I Am Homeless If This Is Not My Home,Lorrie Moore,3.72 avg rating — 85 ratings
"What Sleeps Within the Cove (Of Flesh & Bone, #4)",Harper L. Woods,really liked it 4.00 avg rating — 36 ratings
Gone Tonight,Sarah Pekkanen,4.13 avg rating — 846 ratings
High Time,Hannah Rothschild,3.90 avg rating — 31 ratings
"Pucking Wild (Jacksonville Rays, #2)",Emily Rath,4.36 avg rating — 99 ratings
Happiness Falls,Angie  Kim,4.20 avg rating — 293 ratings
Lucky Dogs,Helen Schulman,3.63 avg rating — 65 ratings
"Iron Flame (The Empyrean, #2)",Rebecca Yarros,4.80 avg rating — 167 ratings
Loot,Tania James,4.13 avg rating — 90 ratings
"Glitter (The Golden Wolf, #2)",Shannon Mayer,4.86 avg rating — 14 ratings
Moorewood Family Rules,HelenKay Dimon,"3.42 avg rating — 1,039 ratings"
Somebody's Fool,Richard Russo,4.33 avg rating — 58 ratings
"House of Striking Oaths (The Kingdom of Crows, #3)",Olivia Wildenstein,4.23 avg rating — 22 ratings
"Heron Mill Tenebris (The Blackwell Brothers, #2)",K.L. Taylor-Lane,4.36 avg rating — 182 ratings
Wednesday's Child: Stories,Yiyun Li,3.95 avg rating — 22 ratings
"The Endless War (The Bridge Kingdom, #4)",Danielle L. Jensen,4.29 avg rating — 611 ratings
Blackouts: A Novel,Justin Torres,4.64 avg rating — 14 ratings
Nightbane (Lightlark #2),Alex Aster,4.26 avg rating — 215 ratings
Absolution,Alice McDermott,4.67 avg rating — 21 ratings
"A Fire in the Flesh (Flesh and Fire, #3)",Jennifer L. Armentrout,4.62 avg rating — 318 ratings
Every Rising Sun,Jamila Ahmed,4.53 avg rating — 34 ratings
"Two Twisted Crowns (The Shepherd King, #2)",Rachel Gillig,4.43 avg rating — 72 ratings
Jezebel,Megan  Barnard,3.89 avg rating — 44 ratings
The Golden Gate,Amy  Chua,3.86 avg rating — 28 ratings
"Borrow My Heart (Borrow My Heart, #1)",Kasie West,3.83 avg rating — 424 ratings
Hangman,Maya Binyam,3.96 avg rating — 26 ratings
The House of Lincoln,Nancy Horan,3.83 avg rating — 251 ratings
Now You See Us,Balli Kaur Jaswal,"3.74 avg rating — 1,386 ratings"
A Small Sacrifice for an Enormous Happiness: Stories,Jai Chakrabarti,3.72 avg rating — 85 ratings
Lighthouse Burning,Jordan Farmer,2.80 avg rating — 308 ratings
Games and Rituals: Stories,Katherine Heiny,"3.94 avg rating — 1,127 ratings"
Seven Rules for Breaking Hearts,Kristyn J. Miller,3.65 avg rating — 928 ratings
The Breakaway,Jennifer Weiner,3.87 avg rating — 214 ratings
"Dark Corners (Rachel Krall, #2)",Megan Goldin,"4.06 avg rating — 1,026 ratings"
The Immeasurable Depth of You,Maria Ingrande Mora,3.85 avg rating — 267 ratings
"A Witch's Guide to Fake Dating a Demon (Glimmer Falls, #1)",Sarah  Hawley,"3.75 avg rating — 6,135 ratings"
The Making of Yolanda la Bruja,Lorraine Avila,4.41 avg rating — 86 ratings
August Blue,Deborah Levy,3.94 avg rating — 722 ratings
Her Deadly Game,Robert Dugoni,"4.49 avg rating — 11,931 ratings"
"Heart of the Nile (Barker & Llewelyn, #14)",Will Thomas,4.32 avg rating — 642 ratings
A Likely Story,Leigh McMullan Abramson,"3.71 avg rating — 1,931 ratings"
Forgiving Imelda Marcos,Nathan  Go,really liked it 4.00 avg rating — 13 ratings
The Carrefour Curse,Dianne K. Salerni,4.15 avg rating — 162 ratings
Second Star: and other reasons for lingering,Philippe Delerm,3.44 avg rating — 34 ratings
Commitment,Mona Simpson,3.64 avg rating — 678 ratings
Take What You Need,Idra Novey,"3.65 avg rating — 1,261 ratings"
Always the Almost,Edward  Underhill,"4.20 avg rating — 1,413 ratings"
The Wonder State,Sara Flannery Murphy,4.53 avg rating — 43 ratings
Witness: Stories,Jamel Brinkley,3.91 avg rating — 34 ratings
The Vegan,Andrew Lipstein,4.09 avg rating — 22 ratings
The Dissident,Paul Goldberg,4.67 avg rating — 6 ratings
Return to Valetto,Dominic Smith,4.03 avg rating — 629 ratings
The Translations of Seamus Heaney,Seamus Heaney,4.15 avg rating — 13 ratings
Close to Home,Michael Magee,4.18 avg rating — 547 ratings
A Legacy of Bones,Doug Burgess,3.67 avg rating — 39 ratings
A Spell of Good Things,Ayọ̀bámi Adébáyọ̀,"3.90 avg rating — 1,198 ratings"
The Fitful Sleep of Immigrants,Orlando Ortega-Medina,4.18 avg rating — 44 ratings
The Tangle of Awful,K. Webster,3.75 avg rating — 690 ratings
The Nursery,Szilvia Molnar,3.91 avg rating — 581 ratings
Rootless,Krystle Zara Appiah,"3.85 avg rating — 1,958 ratings"
The Weeds,Katy Simpson Smith,3.82 avg rating — 115 ratings
Western Lane,Chetna Maroo,3.60 avg rating — 277 ratings
The Last Carolina Girl,Meagan Church,"4.02 avg rating — 1,299 ratings"
A Dangerous Education,Megan Chance,4.09 avg rating — 916 ratings
You Know Her,Meagan  Jennett,3.35 avg rating — 471 ratings
A Country You Can Leave,Asale Angel-Ajani,3.78 avg rating — 522 ratings
"Empty Theatre: or, The Lives of King Ludwig II of Bavaria and Empress Sisi of Austria (Queen of Hungary), Cousins, in Their Pursuit of Connection and Beauty...",Jac Jemc,3.94 avg rating — 550 ratings
The Last Saxon King,Andrew Varga,4.12 avg rating — 210 ratings
Out of the Ashes,Kara Thomas,"3.91 avg rating — 7,826 ratings"
"Where They Lie (Nora McTavish, #1)",Joe Hart,"3.85 avg rating — 5,011 ratings"
"The Husband Hoax (Accidental Love, #1)",Saxon James,"4.10 avg rating — 3,573 ratings"
Hestia Strikes a Match,Christine Grillo,3.88 avg rating — 309 ratings
His Runaway Valentine,Cassi Hart,4.02 avg rating — 108 ratings
The Insatiable Volt Sisters,Rachel Eve Moulton,3.39 avg rating — 215 ratings
Island City,Laura Adamczyk,3.75 avg rating — 44 ratings
"Edge of Woods Road (Driven by Despair, #1)",Leigh Maynard,4.05 avg rating — 63 ratings
What Happened to Ruthy Ramirez,Claire Jiménez,"3.48 avg rating — 3,907 ratings"
"My So-Called Sex Life (How to Date, #1)",Lauren Blakely,"4.25 avg rating — 1,588 ratings"
The Chinese Groove,Kathryn Ma,"4.05 avg rating — 1,204 ratings"
"Dear Grumpy Boss (The Harder They Fall, #1)",Julia  Wolf,"3.97 avg rating — 5,924 ratings"
If a Poem Could Live and Breathe,Mary Calvi,3.92 avg rating — 353 ratings
Cleat Cute,Meryl Wilsner,4.04 avg rating — 435 ratings
"Swift the Storm, Fierce the Flame",Meg  Long,3.93 avg rating — 252 ratings
"The RSVP (The Virgin Society, #1)",Lauren Blakely,"4.01 avg rating — 2,759 ratings"
The 12th Commandment,Daniel Torday,3.53 avg rating — 103 ratings
You Should Smile More,Anastasia  Ryan,"3.68 avg rating — 1,075 ratings"
Couplets,Maggie Millner,"3.88 avg rating — 1,085 ratings"
When the Farmer Met the City Girl,Jessa Kane,"3.67 avg rating — 2,793 ratings"
The World and All That It Holds,Aleksandar Hemon,3.91 avg rating — 802 ratings
"Savage Grace (Savages of Kingsworth, #3)",L.M.  Harrison,0.00 avg rating — 0 ratings
"Pretend Ring Girl (Seeing Double Twin Sister, #3)",Cassi Hart,4.22 avg rating — 152 ratings
"Demonic Desires (Becoming Lust, #2)",Emilia  Rose,4.68 avg rating — 25 ratings
A Most Agreeable Murder,Julia Seales,3.92 avg rating — 415 ratings
